subclasse_codigo,secao,secao_denominacao,divisao,divisao_denominacao,grupo,grupo_denominacao,classe,classe_denominacao,subclasse,subclasse_denominacao
0111301,A,Cultivo de arroz,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.11-3,Cultivo de cereais,0111-3/01,Cultivo de arroz
0111302,A,Cultivo de milho,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.11-3,Cultivo de cereais,0111-3/02,Cultivo de milho
0111303,A,Cultivo de trigo,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.11-3,Cultivo de cereais,0111-3/03,Cultivo de trigo
0111399,A,Cultivo de outros cereais não especificados anteriormente,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.11-3,Cultivo de cereais,0111-3/99,Cultivo de outros cereais não especificados anteriormente
0112101,A,Cultivo de algodão herbáceo,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.12-1,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,0112-1/01,Cultivo de algodão herbáceo
0112102,A,Cultivo de juta,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.12-1,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,0112-1/02,Cultivo de juta
0112199,A,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.12-1,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,0112-1/99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente
0113000,A,Cultivo de cana-de-açúcar,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.13-0,Cultivo de cana-de-açúcar,0113-0/00,Cultivo de cana-de-açúcar
0114800,A,Cultivo de fumo,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.14-8,Cultivo de fumo,0114-8/00,Cultivo de fumo
0115600,A,Cultivo de soja,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.15-6,Cultivo de soja,0115-6/00,Cultivo de soja
0116401,A,Cultivo de amendoim,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja",0116-4/01,Cultivo de amendoim
0116402,A,Cultivo de girassol,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja",0116-4/02,Cultivo de girassol
0116403,A,Cultivo de mamona,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja",0116-4/03,Cultivo de mamona
0116499,A,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja",0116-4/99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente
0119901,A,Cultivo de abacaxi,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/01,Cultivo de abacaxi
0119902,A,Cultivo de alho,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/02,Cultivo de alho
0119903,A,Cultivo de batata-inglesa,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/03,Cultivo de batata-inglesa
0119904,A,Cultivo de cebola,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/04,Cultivo de cebola
0119905,A,Cultivo de feijão,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/05,Cultivo de feijão
0119906,A,Cultivo de mandioca,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/06,Cultivo de mandioca
0119907,A,Cultivo de melão,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/07,Cultivo de melão
0119908,A,Cultivo de melancia,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/08,Cultivo de melancia
0119909,A,Cultivo de tomate rasteiro,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/09,Cultivo de tomate rasteiro
0119999,A,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,Produção de lavouras temporárias,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente
0121101,A,"Horticultura, exceto morango",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.2,Horticultura e floricultura,01.21-1,Horticultura,0121-1/01,"Horticultura, exceto morango"
0121102,A,Cultivo de morango,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.2,Horticultura e floricultura,01.21-1,Horticultura,0121-1/02,Cultivo de morango
0122900,A,Cultivo de flores e plantas ornamentais,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.2,Horticultura e floricultura,01.22-9,Cultivo de flores e plantas ornamentais,0122-9/00,Cultivo de flores e plantas ornamentais
0131800,A,Cultivo de laranja,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.3,Produção de lavouras permanentes,01.31-8,Cultivo de laranja,0131-8/00,Cultivo de laranja
0132600,A,Cultivo de uva,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.3,Produção de lavouras permanentes,01.32-6,Cultivo de uva,0132-6/00,Cultivo de uva
0133401,A,Cultivo de açaí,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/01,Cultivo de açaí
0133402,A,Cultivo de banana,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/02,Cultivo de banana
0133403,A,Cultivo de caju,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.3,Produção de lavouras permanentes,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/03,Cultivo de caju
,Seção,Denominação,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,Classe,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",Subclasse,
0133404,Seção,"Cultivo de cítricos, exceto laranja",Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,Classe,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/04,"Cultivo de cítricos, exceto laranja"
0133405,Seção,Cultivo de coco-da-baía,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,Classe,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/05,Cultivo de coco-da-baía
0133406,Seção,Cultivo de guaraná,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,Classe,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/06,Cultivo de guaraná
0133407,Seção,Cultivo de maçã,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,Classe,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/07,Cultivo de maçã
0133408,Seção,Cultivo de mamão,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,Classe,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/08,Cultivo de mamão
0133409,Seção,Cultivo de maracujá,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,Classe,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/09,Cultivo de maracujá
0133410,Seção,Cultivo de manga,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,Classe,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/10,Cultivo de manga
0133411,Seção,Cultivo de pêssego,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,Classe,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/11,Cultivo de pêssego
0133499,Seção,Cultivo de frutas de lavoura permanente não especificadas anteriormente,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,Classe,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/99,Cultivo de frutas de lavoura permanente não especificadas anteriormente
0134200,Seção,Cultivo de café,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,01.34-2,Cultivo de café,0134-2/00,Cultivo de café
0135100,Seção,Cultivo de cacau,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,01.35-1,Cultivo de cacau,0135-1/00,Cultivo de cacau
0139301,Seção,Cultivo de chá-da-índia,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/01,Cultivo de chá-da-índia
0139302,Seção,Cultivo de erva-mate,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/02,Cultivo de erva-mate
0139303,Seção,Cultivo de pimenta-do-reino,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/03,Cultivo de pimenta-do-reino
0139304,Seção,"Cultivo de plantas para condimento, exceto pimenta-do-reino",Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/04,"Cultivo de plantas para condimento, exceto pimenta-do-reino"
0139305,Seção,Cultivo de dendê,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/05,Cultivo de dendê
0139306,Seção,Cultivo de seringueira,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/06,Cultivo de seringueira
0139399,Seção,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Produção de lavouras permanentes,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/99,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente
0141501,Seção,"Produção de sementes certificadas, exceto de forrageiras para pasto",Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.4,Produção de sementes e mudas certificadas,01.41-5,Produção de sementes certificadas,0141-5/01,"Produção de sementes certificadas, exceto de forrageiras para pasto"
0141502,Seção,Produção de sementes certificadas de forrageiras para formação de pasto,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.4,Produção de sementes e mudas certificadas,01.41-5,Produção de sementes certificadas,0141-5/02,Produção de sementes certificadas de forrageiras para formação de pasto
0142300,Seção,"Produção de mudas e outras formas de propagação vegetal, certificadas",Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.4,Produção de sementes e mudas certificadas,01.42-3,"Produção de mudas e outras formas de propagação vegetal, certificadas",0142-3/00,"Produção de mudas e outras formas de propagação vegetal, certificadas"
0151201,Seção,Criação de bovinos para corte,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.5,Pecuária,01.51-2,Criação de bovinos,0151-2/01,Criação de bovinos para corte
0151202,Seção,Criação de bovinos para leite,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.5,Pecuária,01.51-2,Criação de bovinos,0151-2/02,Criação de bovinos para leite
0151203,Seção,"Criação de bovinos, exceto para corte e leite",Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.5,Pecuária,01.51-2,Criação de bovinos,0151-2/03,"Criação de bovinos, exceto para corte e leite"
0152101,Seção,Criação de bufalinos,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.5,Pecuária,01.52-1,Criação de outros animais de grande porte,0152-1/01,Criação de bufalinos
0152102,Seção,Criação de eqüinos,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.5,Pecuária,01.52-1,Criação de outros animais de grande porte,0152-1/02,Criação de eqüinos
0152103,Seção,Criação de asininos e muares,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.5,Pecuária,01.52-1,Criação de outros animais de grande porte,0152-1/03,Criação de asininos e muares
0153901,Seção,Criação de caprinos,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.5,Pecuária,01.53-9,Criação de caprinos e ovinos,0153-9/01,Criação de caprinos
0153902,Seção,"Criação de ovinos, inclusive para produção de lã",Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.5,Pecuária,01.53-9,Criação de caprinos e ovinos,0153-9/02,"Criação de ovinos, inclusive para produção de lã"
0154700,Seção,Criação de suínos,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.5,Pecuária,01.54-7,Criação de suínos,0154-7/00,Criação de suínos
0155501,Seção,Criação de frangos para corte,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.5,Pecuária,01.55-5,Criação de aves,0155-5/01,Criação de frangos para corte
0155502,Seção,Produção de pintos de um dia,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.5,Pecuária,01.55-5,Criação de aves,0155-5/02,Produção de pintos de um dia
0155503,Seção,"Criação de outros galináceos, exceto para corte",Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.5,Pecuária,01.55-5,Criação de aves,0155-5/03,"Criação de outros galináceos, exceto para corte"
0155504,Seção,"Criação de aves, exceto galináceos",Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.5,Pecuária,01.55-5,Criação de aves,0155-5/04,"Criação de aves, exceto galináceos"
0155505,Seção,Produção de ovos,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.5,Pecuária,01.55-5,Criação de aves,0155-5/05,Produção de ovos
,Seção,Denominação,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Pecuária,Classe,Criação de animais não especificados anteriormente,Subclasse,
0159801,Seção,Apicultura,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Pecuária,Classe,Criação de animais não especificados anteriormente,0159-8/01,Apicultura
0159802,Seção,Criação de animais de estimação,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Pecuária,Classe,Criação de animais não especificados anteriormente,0159-8/02,Criação de animais de estimação
0159803,Seção,Criação de escargô,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Pecuária,Classe,Criação de animais não especificados anteriormente,0159-8/03,Criação de escargô
0159804,Seção,Criação de bicho-da-seda,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Pecuária,Classe,Criação de animais não especificados anteriormente,0159-8/04,Criação de bicho-da-seda
0159899,Seção,Criação de outros animais não especificados anteriormente,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",Grupo,Pecuária,Classe,Criação de animais não especificados anteriormente,0159-8/99,Criação de outros animais não especificados anteriormente
0161001,Seção,Serviço de pulverização e controle de pragas agrícolas,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.61-0,Atividades de apoio à agricultura,0161-0/01,Serviço de pulverização e controle de pragas agrícolas
0161002,Seção,Serviço de poda de árvores para lavouras,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.61-0,Atividades de apoio à agricultura,0161-0/02,Serviço de poda de árvores para lavouras
0161003,Seção,"Serviço de preparação de terreno, cultivo e colheita",Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.61-0,Atividades de apoio à agricultura,0161-0/03,"Serviço de preparação de terreno, cultivo e colheita"
0161099,Seção,Atividades de apoio à agricultura não especificadas anteriormente,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.61-0,Atividades de apoio à agricultura,0161-0/99,Atividades de apoio à agricultura não especificadas anteriormente
0162801,Seção,Serviço de inseminação artificial em animais,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.62-8,Atividades de apoio à pecuária,0162-8/01,Serviço de inseminação artificial em animais
0162802,Seção,Serviço de tosquiamento de ovinos,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.62-8,Atividades de apoio à pecuária,0162-8/02,Serviço de tosquiamento de ovinos
0162803,Seção,Serviço de manejo de animais,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.62-8,Atividades de apoio à pecuária,0162-8/03,Serviço de manejo de animais
0162899,Seção,Atividades de apoio à pecuária não especificadas anteriormente,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.62-8,Atividades de apoio à pecuária,0162-8/99,Atividades de apoio à pecuária não especificadas anteriormente
0163600,Seção,Atividades de pós-colheita,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.63-6,Atividades de pós-colheita,0163-6/00,Atividades de pós-colheita
0170900,Seção,Caça e serviços relacionados,Divisão,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.7,Caça e serviços relacionados,01.70-9,Caça e serviços relacionados,0170-9/00,Caça e serviços relacionados
0210101,Seção,Cultivo de eucalipto,02,PRODUÇÃO FLORESTAL,02.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/01,Cultivo de eucalipto
0210102,Seção,Cultivo de acácia-negra,02,PRODUÇÃO FLORESTAL,02.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/02,Cultivo de acácia-negra
0210103,Seção,Cultivo de pinus,02,PRODUÇÃO FLORESTAL,02.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/03,Cultivo de pinus
0210104,Seção,Cultivo de teca,02,PRODUÇÃO FLORESTAL,02.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/04,Cultivo de teca
0210105,Seção,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",02,PRODUÇÃO FLORESTAL,02.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/05,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca"
0210106,Seção,Cultivo de mudas em viveiros florestais,02,PRODUÇÃO FLORESTAL,02.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/06,Cultivo de mudas em viveiros florestais
0210107,Seção,Extração de madeira em florestas plantadas,02,PRODUÇÃO FLORESTAL,02.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/07,Extração de madeira em florestas plantadas
0210108,Seção,Produção de carvão vegetal - florestas plantadas,02,PRODUÇÃO FLORESTAL,02.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/08,Produção de carvão vegetal - florestas plantadas
0210109,Seção,Produção de casca de acácia-negra - florestas plantadas,02,PRODUÇÃO FLORESTAL,02.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/09,Produção de casca de acácia-negra - florestas plantadas
0210199,Seção,Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas,02,PRODUÇÃO FLORESTAL,02.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/99,Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas
0220901,Seção,Extração de madeira em florestas nativas,02,PRODUÇÃO FLORESTAL,02.2,Produção florestal - florestas nativas,02.20-9,Produção florestal - florestas nativas,0220-9/01,Extração de madeira em florestas nativas
0220902,Seção,Produção de carvão vegetal - florestas nativas,02,PRODUÇÃO FLORESTAL,02.2,Produção florestal - florestas nativas,02.20-9,Produção florestal - florestas nativas,0220-9/02,Produção de carvão vegetal - florestas nativas
0220903,Seção,Coleta de castanha-do-pará em florestas nativas,02,PRODUÇÃO FLORESTAL,02.2,Produção florestal - florestas nativas,02.20-9,Produção florestal - florestas nativas,0220-9/03,Coleta de castanha-do-pará em florestas nativas
0220904,Seção,Coleta de látex em florestas nativas,02,PRODUÇÃO FLORESTAL,02.2,Produção florestal - florestas nativas,02.20-9,Produção florestal - florestas nativas,0220-9/04,Coleta de látex em florestas nativas
0220905,Seção,Coleta de palmito em florestas nativas,02,PRODUÇÃO FLORESTAL,02.2,Produção florestal - florestas nativas,02.20-9,Produção florestal - florestas nativas,0220-9/05,Coleta de palmito em florestas nativas
0220906,Seção,Conservação de florestas nativas,02,PRODUÇÃO FLORESTAL,02.2,Produção florestal - florestas nativas,02.20-9,Produção florestal - florestas nativas,0220-9/06,Conservação de florestas nativas
0220999,Seção,Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas,02,PRODUÇÃO FLORESTAL,02.2,Produção florestal - florestas nativas,02.20-9,Produção florestal - florestas nativas,0220-9/99,Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas
0230600,Seção,Atividades de apoio à produção florestal,02,PRODUÇÃO FLORESTAL,02.3,Atividades de apoio à produção florestal,02.30-6,Atividades de apoio à produção florestal,0230-6/00,Atividades de apoio à produção florestal
0311601,Seção,Pesca de peixes em água salgada,03,PESCA E AQÜICULTURA,03.1,Pesca,03.11-6,Pesca em água salgada,0311-6/01,Pesca de peixes em água salgada
,Seção,Denominação,Divisão,PESCA E AQÜICULTURA,Grupo,Pesca,Classe,Pesca em água salgada,Subclasse,
0311602,Seção,Pesca de crustáceos e moluscos em água salgada,Divisão,PESCA E AQÜICULTURA,Grupo,Pesca,Classe,Pesca em água salgada,0311-6/02,Pesca de crustáceos e moluscos em água salgada
0311603,Seção,Coleta de outros produtos marinhos,Divisão,PESCA E AQÜICULTURA,Grupo,Pesca,Classe,Pesca em água salgada,0311-6/03,Coleta de outros produtos marinhos
0311604,Seção,Atividades de apoio à pesca em água salgada,Divisão,PESCA E AQÜICULTURA,Grupo,Pesca,Classe,Pesca em água salgada,0311-6/04,Atividades de apoio à pesca em água salgada
0312401,Seção,Pesca de peixes em água doce,Divisão,PESCA E AQÜICULTURA,Grupo,Pesca,03.12-4,Pesca em água doce,0312-4/01,Pesca de peixes em água doce
0312402,Seção,Pesca de crustáceos e moluscos em água doce,Divisão,PESCA E AQÜICULTURA,Grupo,Pesca,03.12-4,Pesca em água doce,0312-4/02,Pesca de crustáceos e moluscos em água doce
0312403,Seção,Coleta de outros produtos aquáticos de água doce,Divisão,PESCA E AQÜICULTURA,Grupo,Pesca,03.12-4,Pesca em água doce,0312-4/03,Coleta de outros produtos aquáticos de água doce
0312404,Seção,Atividades de apoio à pesca em água doce,Divisão,PESCA E AQÜICULTURA,Grupo,Pesca,03.12-4,Pesca em água doce,0312-4/04,Atividades de apoio à pesca em água doce
0321301,Seção,Criação de peixes em água salgada e salobra,Divisão,PESCA E AQÜICULTURA,03.2,Aqüicultura,03.21-3,Aqüicultura em água salgada e salobra,0321-3/01,Criação de peixes em água salgada e salobra
0321302,Seção,Criação de camarões em água salgada e salobra,Divisão,PESCA E AQÜICULTURA,03.2,Aqüicultura,03.21-3,Aqüicultura em água salgada e salobra,0321-3/02,Criação de camarões em água salgada e salobra
0321303,Seção,Criação de ostras e mexilhões em água salgada e salobra,Divisão,PESCA E AQÜICULTURA,03.2,Aqüicultura,03.21-3,Aqüicultura em água salgada e salobra,0321-3/03,Criação de ostras e mexilhões em água salgada e salobra
0321304,Seção,Criação de peixes ornamentais em água salgada e salobra,Divisão,PESCA E AQÜICULTURA,03.2,Aqüicultura,03.21-3,Aqüicultura em água salgada e salobra,0321-3/04,Criação de peixes ornamentais em água salgada e salobra
0321305,Seção,Atividades de apoio à aqüicultura em água salgada e salobra,Divisão,PESCA E AQÜICULTURA,03.2,Aqüicultura,03.21-3,Aqüicultura em água salgada e salobra,0321-3/05,Atividades de apoio à aqüicultura em água salgada e salobra
